iter	MultiRMSE
0	4422392.54
1	4327518.96
2	4234429.384
3	4143703.004
4	4055880.424
5	3969425.379
6	3885415.858
7	3803205.056
8	3723056.254
9	3645654.919
10	3569852.067
11	3495804.266
12	3423291.859
13	3353235.208
14	3284484.102
15	3217199.734
16	3151023.622
17	3087636.098
18	3025780.658
19	2965886.595
20	2907717.797
21	2851070.919
22	2795108.271
23	2739526.362
24	2686286.175
25	2634010.346
26	2584201.281
27	2534353.714
28	2486866.102
29	2440947.435
30	2396027.067
31	2351209.953
32	2308595.32
33	2266771.685
34	2225736.674
35	2185325.669
36	2145915.659
37	2108124.915
38	2070172.919
39	2033849.392
40	1999007.677
41	1965403.277
42	1932687.052
43	1900158.366
44	1868843.731
45	1837741.998
46	1807810.901
47	1778998.459
48	1750709.092
49	1723105.256
50	1696325.192
51	1669001.867
52	1643085.595
53	1617618.146
54	1593420.874
55	1569296.324
56	1545085.86
57	1521439.626
58	1499564.551
59	1477938.292
60	1457230.057
61	1437422.343
62	1418799.996
63	1400627.326
64	1382350.045
65	1365048.859
66	1347841.91
67	1330181.818
68	1314117.79
69	1297149.518
70	1280880.776
71	1264946.644
72	1250691.937
73	1235687.51
74	1221979.729
75	1208832.909
76	1195418.082
77	1182909.749
78	1168905.959
79	1155482.658
80	1144056.375
81	1132982.874
82	1122557.671
83	1110663.029
84	1099838.952
85	1088417.415
86	1078625.087
87	1067667.746
88	1058636.423
89	1049738.255
90	1040984.135
91	1032127.162
92	1022335.052
93	1012952.731
94	1005189.923
95	997686.45
96	988807.0911
97	981482.658
98	973187.7916
99	966061.5336
100	958548.1048
101	951987.7388
102	945175.7487
103	938103.2706
104	932147.2746
105	926213.881
106	919540.8374
107	913321.7379
108	907128.4095
109	900584.7045
110	894608.6739
111	889658.6911
112	883243.8779
113	878568.8686
114	873914.3437
115	869223.2025
116	864537.6347
117	858911.0194
118	854462.9444
119	848867.6773
120	844159.9239
121	840003.6543
122	836224.3781
123	831391.0602
124	827648.3765
125	823048.0837
126	819509.173
127	815605.4962
128	811304.6887
129	806853.1572
130	803475.08
131	799839.1041
132	795612.6197
133	792544.0371
134	788524.4142
135	785423.9698
136	781340.291
137	777974.1106
138	775057.55
139	771771.6263
140	768003.4893
141	764390.2312
142	761727.8677
143	758727.0821
144	755220.4432
145	752256.0764
146	749641.3459
147	747329.8887
148	744395.1992
149	741096.0434
150	738631.2339
151	736414.177
152	734107.6808
153	731850.6512
154	729032.9101
155	726390.4322
156	723764.4094
157	721681.2833
158	719176.023
159	716583.3857
160	714094.7852
161	712211.6113
162	710235.6138
163	707885.0758
164	706211.4147
165	704458.8117
166	702292.661
167	700467.2699
168	699027.0243
169	696713.1584
170	694748.2393
171	693029.2917
172	691445.8572
173	689434.3634
174	687449.4734
175	685378.8546
176	683628.3836
177	682216.4202
178	680955.4974
179	679202.6196
180	677171.3987
181	675506.5527
182	674099.032
183	672711.2121
184	670969.1703
185	669260.694
186	667627.6255
187	666385.5664
188	665095.0283
189	663555.4043
190	661403.531
191	659809.1168
192	658501.3935
193	657285.8982
194	656097.736
195	654798.332
196	653242.5864
197	651489.2438
198	650195.4532
199	648087.1686
200	646892.0219
201	645790.8031
202	644710.3264
203	643391.9862
204	642244.5329
205	641143.8916
206	640091.7641
207	638994.6898
208	637408.8208
209	636108.3295
210	634915.5376
211	633477.5444
212	631950.4437
213	631086.9466
214	629826.9345
215	628829.1312
216	627415.9397
217	626390.1636
218	625264.6383
219	623782.2639
220	622986.6374
221	622051.3216
222	620861.6545
223	619733.28
224	618283.3384
225	617162.6808
226	616029.0239
227	615134.1562
228	614396.2395
229	613657.618
230	612737.4445
231	612043.326
232	611205.3687
233	609825.1117
234	608977.8027
235	607946.7181
236	606920.9793
237	605906.0568
238	604505.5616
239	603174.6642
240	602040.6193
241	600773.421
242	599402.9323
243	598713.0932
244	598093.1035
245	597241.6732
246	596498.8388
247	595449.3546
248	594553.348
249	593562.9859
250	592372.6876
251	591591.3847
252	590389.5542
253	589456.1357
254	588485.1528
255	587621.5169
256	586947.7616
257	585436.2719
258	584751.1796
259	584225.191
260	583751.6391
261	582847.4901
262	581871.7511
263	581178.9741
264	580669.7086
265	580010.3133
266	579216.9147
267	578662.1445
268	578184.8041
