iter	Passed	Remaining
0	40	23682
1	79	23232
2	117	22679
3	154	22395
4	203	23498
5	256	24657
6	302	24859
7	340	24483
8	378	24170
9	418	23991
10	458	23842
11	497	23671
12	537	23584
13	577	23467
14	616	23340
15	655	23221
16	696	23175
17	740	23242
18	784	23282
19	827	23299
20	867	23223
21	912	23276
22	955	23252
23	997	23228
24	1039	23191
25	1078	23109
26	1117	23020
27	1156	22926
28	1197	22867
29	1237	22819
30	1277	22753
31	1317	22691
32	1357	22628
33	1398	22583
34	1438	22515
35	1478	22465
36	1518	22410
37	1558	22354
38	1598	22298
39	1638	22249
40	1678	22191
41	1718	22130
42	1757	22074
43	1796	22010
44	1839	21992
45	1880	21949
46	1921	21911
47	1962	21874
48	2002	21820
49	2044	21789
50	2086	21762
51	2129	21746
52	2169	21694
53	2208	21636
54	2249	21594
55	2289	21542
56	2329	21494
57	2370	21452
58	2411	21417
59	2450	21359
60	2489	21306
61	2528	21251
62	2569	21206
63	2608	21151
64	2647	21098
65	2687	21048
66	2726	20994
67	2766	20951
68	2806	20904
69	2845	20855
70	2885	20804
71	2923	20749
72	2962	20698
73	3002	20650
74	3042	20606
75	3081	20559
76	3121	20512
77	3162	20474
78	3205	20448
79	3248	20426
80	3287	20376
81	3327	20327
82	3365	20276
83	3405	20231
84	3445	20185
85	3485	20145
86	3524	20093
87	3564	20047
88	3603	19999
89	3642	19950
90	3680	19901
91	3721	19861
92	3761	19820
93	3802	19778
94	3841	19731
95	3880	19684
96	3920	19640
97	3960	19601
98	4000	19555
99	4040	19514
100	4078	19465
101	4119	19424
102	4158	19379
103	4197	19332
104	4237	19291
105	4278	19254
106	4320	19220
107	4362	19188
108	4403	19148
109	4443	19105
110	4483	19065
111	4523	19022
112	4562	18974
113	4601	18931
114	4640	18884
115	4679	18840
116	4719	18797
117	4759	18756
118	4798	18708
119	4837	18662
120	4877	18623
121	4916	18578
122	4956	18535
123	4995	18493
124	5034	18447
125	5074	18404
126	5113	18361
127	5152	18316
128	5191	18269
129	5230	18227
130	5270	18183
131	5309	18140
132	5349	18098
133	5389	18057
134	5431	18024
135	5473	17991
136	5515	17956
137	5555	17913
138	5594	17868
139	5632	17821
140	5670	17775
141	5709	17731
142	5748	17687
143	5788	17646
144	5826	17600
145	5866	17557
146	5905	17514
147	5943	17469
148	5983	17428
149	6024	17390
150	6065	17352
151	6105	17312
152	6144	17267
153	6183	17225
154	6222	17181
155	6262	17142
156	6301	17097
157	6341	17057
158	6381	17016
159	6421	16976
160	6460	16933
161	6500	16892
162	6541	16856
163	6584	16823
164	6627	16790
165	6669	16755
166	6710	16714
167	6749	16673
168	6788	16629
169	6828	16588
170	6867	16546
171	6907	16504
172	6947	16464
173	6986	16423
174	7027	16385
175	7069	16347
176	7108	16305
177	7149	16266
178	7188	16223
179	7228	16183
180	7266	16138
181	7306	16098
182	7346	16057
183	7385	16016
184	7425	15975
185	7465	15934
186	7504	15891
187	7543	15849
188	7583	15809
189	7623	15767
190	7663	15727
191	7705	15692
192	7748	15657
193	7790	15621
194	7829	15578
195	7869	15537
196	7908	15496
197	7948	15455
198	7988	15415
199	8028	15373
200	8068	15334
201	8109	15295
202	8148	15253
203	8188	15213
204	8229	15174
205	8269	15133
206	8308	15092
207	8349	15052
208	8388	15010
209	8428	14970
210	8468	14930
211	8507	14887
212	8546	14845
213	8584	14802
214	8624	14761
215	8664	14721
216	8702	14678
217	8742	14638
218	8781	14596
219	8823	14559
220	8864	14520
221	8907	14484
222	8945	14441
223	8985	14400
224	9024	14359
225	9063	14317
226	9102	14275
227	9141	14234
228	9180	14192
229	9221	14152
